catalog_id,vsx_name,trust,n_clean,sep_confidence,lc_quality,check_scatter,reason
1399187099635410432,Gaia DR3 1399187099635410432,RED,8,vyvar_ok_indep_failed,good,0.022105670490736116,"independent re-measure failed (faint target), 8 clean comps, check-star scatter 0.022 mag — inspect before submitting"
1399189264299382784,Gaia DR3 1399189264299382784,GREEN,8,confirmed,good,0.014829314460502506,"independent check confirmed, 8 clean comps"
1399344329798455552,Gaia DR3 1399344329798455552,YELLOW,8,confirmed,good,0.020556502842691428,"independent check confirmed, 8 clean comps, check-star scatter 0.021 mag — review before submitting"
1399363365093103488,Gaia DR3 1399363365093103488,GREEN,8,confirmed,good,0.013433253295610664,"independent check confirmed, 8 clean comps"
1399392570870712448,Gaia DR3 1399392570870712448,YELLOW,8,confirmed,good,0.04712653296775381,"independent check confirmed, 8 clean comps, check-star scatter 0.047 mag — review before submitting"
1399432634325688832,Gaia DR3 1399432634325688832,RED,3,no_vyvar_rms,noisy,,"no VYVAR lc_rms for sep comparison, 3 clean comps, noisy LC — inspect before submitting"
1399478779454418304,Gaia DR3 1399478779454418304,GREEN,8,confirmed,good,0.01404896794789626,"independent check confirmed, 8 clean comps"
1399484964207321344,Gaia DR3 1399484964207321344,GREEN,8,confirmed,good,0.018759574875627932,"independent check confirmed, 8 clean comps"
1399491286399194752,Gaia DR3 1399491286399194752,RED,8,vyvar_ok_indep_failed,noisy,0.028403663609531622,"independent re-measure failed (faint target), 8 clean comps, noisy LC, check-star scatter 0.028 mag — inspect before submitting"
1399908963378727296,Gaia DR3 1399908963378727296,YELLOW,8,confirmed,noisy,0.0383963309786687,"independent check confirmed, 8 clean comps, noisy LC, check-star scatter 0.038 mag — review before submitting"
1399951328936065536,Gaia DR3 1399951328936065536,GREEN,8,confirmed,good,0.010963022025345283,"independent check confirmed, 8 clean comps"
1399954352593040512,Gaia DR3 1399954352593040512,YELLOW,8,vyvar_ok_indep_failed,good,0.018341430032742242,"independent re-measure failed (faint target), 8 clean comps — review before submitting"
1399965828746056704,Gaia DR3 1399965828746056704,GREEN,8,confirmed,good,0.013376637129336741,"independent check confirmed, 8 clean comps"
1399975689990591872,Gaia DR3 1399975689990591872,GREEN,7,confirmed,good,0.014171447426854895,"independent check confirmed, 7 clean comps"
1399990052361255040,Gaia DR3 1399990052361255040,YELLOW,7,vyvar_ok_indep_failed,good,,"independent re-measure failed (faint target), 7 clean comps — review before submitting"
